Country of Origin may be different at time of shipment.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Index,Manufacturer Part Number,Manufacturer Name,Description,Availability,Stock Status,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Requested Part Number,Lead Weeks,Datasheet,US Import Tariff,Note,Part Status,RoHS Status,Moisture Sensitivity Level (MSL),ECCN,HTSUS,Country of Origin,Environmental Information,Original Part numbers
1,ATMEGA32U4-AU,Microchip Technology,IC MCU 8BIT 32KB FLASH 44TQFP,"14,657",In Stock,1,1,Tray,ATMEGA32U4-AU-ND,5.29000,$5.29,1,atmega32u4-au,4,http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-7766-8-bit-AVR-ATmega16U4-32U4_Summary.pdf,	-,,Active,ROHS3 Compliant,3  (168 Hours),EAR99,8542.31.0015,Thailand,https://ww1.microchip.com/downloads/aemDocuments/documents/corporate-responsibilty/environmental/product-regulatory-information/Semiconductor_EnvCoC.pdf|https://ww1.microchip.com/downloads/aemDocuments/documents/corporate-responsibilty/environmental/product-regulatory-information/Microchip_REACH_Statement.pdf,atmega32u4-au
2,865080142007,WÃ¼rth Elektronik,CAP ALUM 100UF 20% 6.3V SMD,"2,805",In Stock,1,1,Cut Tape (CT),732-8472-1-ND,0.20000,$0.20,1,732-8472-1-ND,26,https://www.we-online.com/components/products/datasheet/865080142007.pdf,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8532.22.0020,China,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/744/Certificate_of_Compliance_ROHS.pdf,732-8472-1-ND
3,CL21B105KPFNNNE,Samsung Electro-Mechanics,CAP CER 1UF 10V X7R 0805,"763,033",In Stock,2,2,Cut Tape (CT),1276-1275-1-ND,0.10000,$0.20,1,1276-1275-1-ND,22,http://www.samsungsem.com/kr/support/product-search/mlcc/CL21B105KPFNNNE.jsp,	-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8532.24.0020,Philippines,https://www.samsungsem.com/files/fileDown.do?key=ed1dfdfa-645e-4252-b707-17f9b1502dd1|https://www.samsungsem.com/global/support/certificate/product-stewardship.do,1276-1275-1-ND
4,CL21C220JBANFNC,Samsung Electro-Mechanics,CAP CER 22PF 50V C0G/NP0 0805,"150,218",In Stock,2,2,Cut Tape (CT),1276-2606-1-ND,0.10000,$0.20,1,1276-2606-1-ND,22,http://www.samsungsem.com/kr/support/product-search/mlcc/CL21C220JBANFNC.jsp,	-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8532.24.0020,China,https://www.samsungsem.com/files/fileDown.do?key=ed1dfdfa-645e-4252-b707-17f9b1502dd1|https://www.samsungsem.com/global/support/certificate/product-stewardship.do,1276-2606-1-ND
5,CL21B104KBCNNNC,Samsung Electro-Mechanics,CAP CER 0.1UF 50V X7R 0805,"1,739,088",In Stock,1,1,Cut Tape (CT),1276-1003-1-ND,0.10000,$0.10,1,1276-1003-1-ND,22,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/609/CL21B104KBCNNN_Spec.pdf,	-,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8532.24.0020,Philippines,https://www.samsungsem.com/files/fileDown.do?key=ed1dfdfa-645e-4252-b707-17f9b1502dd1|https://www.samsungsem.com/global/support/certificate/product-stewardship.do,1276-1003-1-ND
6,USB3076-30-A,GCT,"MICRO B SKT, BOTTOM-SMT, R/A, 30","45,985",In Stock,1,1,Cut Tape (CT),2073-USB3076-30-ACT-ND,0.70000,$0.70,1,2073-USB3076-30-ACT-ND,9,https://gct.co/files/specs/usb3076-spec.pdf,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,Not Applicable,EAR99,8536.69.4040,China,https://gct.co/files/info/gct_certificate_of_compliance.pdf,2073-USB3076-30-ACT-ND
7,LNCD1-16M,"NDK America, Inc.",CRYSTAL 16.0000MHZ 8PF SMD,"31,951",In Stock,1,1,Cut Tape (CT),644-LNCD1-16MCT-ND,0.58000,$0.58,1,644-LNCD1-16MCT-ND,15,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/973/NX5032GA.pdf,	-,,Active,RoHS Compliant,1  (Unlimited),EAR99,8541.60.0050,China,,644-LNCD1-16MCT-ND
8,B1701TW--20P000314U1930,Harvatek Corporation,LED WHITE 0805 SMD,"31,804",In Stock,2,2,Cut Tape (CT),3147-B1701TW--20P000314U1930CT-ND,0.10000,$0.20,1,3147-B1701TW--20P000314U1930CT-ND,8,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/3791/B1701TW--20P000314U1930.pdf,	-,,Active,RoHS Compliant,2A  (4 Weeks),EAR99,8541.41.0000,Taiwan,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6223/Harvatek%20Corp%20REACH%20235%20Jun%202023%20Statement.pdf,3147-B1701TW--20P000314U1930CT-ND
9,PH1-20-UA,Adam Tech,CONN HEADER VERT 20POS 2.54MM,"8,135",In Stock,1,1,Bag,2057-PH1-20-UA-ND,0.36000,$0.36,1,2057-PH1-20-UA-ND,14,https://app.adam-tech.com/products/download/data_sheet/201605/ph1-xx-ua-data-sheet.pdf,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8536.69.4040,China,,2057-PH1-20-UA-ND
10,PH2-06-UA,Adam Tech,CONN HEADER VERT 6POS 2.54MM,"11,624",In Stock,1,1,Bag,2057-PH2-06-UA-ND,0.12000,$0.12,1,2057-PH2-06-UA-ND,14,https://app.adam-tech.com/products/download/data_sheet/202065/ph2-xx-ua-data-sheet.pdf,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8536.69.4040,China,,2057-PH2-06-UA-ND
11,RC0805FR-07100RL,YAGEO,RES 100 OHM 1% 1/8W 0805,"169,983",In Stock,2,2,Cut Tape (CT),311-100CRCT-ND,0.10000,$0.20,1,311-100CRCT-ND,18,https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.yageo.com/en/Download/Index/certificates#rchip,311-100CRCT-ND
12,RC0805FR-0722RL,YAGEO,RES 22 OHM 1% 1/8W 0805,"499,387",In Stock,2,2,Cut Tape (CT),311-22.0CRCT-ND,0.10000,$0.20,1,311-22.0CRCT-ND,18,https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.yageo.com/en/Download/Index/certificates#rchip,311-22.0CRCT-ND
13,RC0805FR-071KL,YAGEO,RES 1K OHM 1% 1/8W 0805,"1,825,316",In Stock,1,1,Cut Tape (CT),311-1.00KCRCT-ND,0.10000,$0.10,1,311-1.00KCRCT-ND,18,https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.yageo.com/en/Download/Index/certificates#rchip,311-1.00KCRCT-ND
14,RC0805FR-07470RL,YAGEO,RES 470 OHM 1% 1/8W 0805,"415,773",In Stock,1,1,Cut Tape (CT),311-470CRCT-ND,0.10000,$0.10,1,311-470CRCT-ND,18,https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,1  (Unlimited),EAR99,8533.21.0030,Taiwan,https://www.yageo.com/en/Download/Index/certificates#rchip,311-470CRCT-ND
15,2686,Adafruit Industries LLC,ADDRESS LED DISC SERIAL RGB 10PK,185,In Stock,1,1,Bulk,1528-1541-ND,4.95000,$4.95,1,1528-1541-ND,6,https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf,	-,,Active,ROHS3 Compliant,5A  (24 Hours),EAR99,8541.41.0000,China,,1528-1541-ND